,Y
0.0,0.8660254037844386
0.20202020202020202,0.9928614073512012
0.40404040404040403,0.9598071543439837
0.6060606060606061,0.772185696857524
0.8080808080808081,0.46021156710566524
1.0101010101010102,0.07412503354998923
1.2121212121212122,-0.3238985846230469
1.4141414141414141,-0.669761621857107
1.6161616161616161,-0.9077663449606654
1.8181818181818181,-0.9995845079558966
2.0202020202020203,-0.9304297272340094
2.2222222222222223,-0.7114386786201211
2.4242424242424243,-0.3778776487188169
2.6262626262626263,0.016536742749246214
2.8282828282828283,0.4082880595711422
3.0303030303030303,0.734288726687474
3.2323232323232323,0.9420396441004095
3.4343434343434343,0.9980846342984746
3.6363636363636362,0.8933982202149742
3.8383838383838382,0.6448390867415643
4.040404040404041,0.2924351605663169
4.242424242424242,-0.1070624813158807
4.444444444444445,-0.48931879678504897
4.646464646464646,-0.7927752844180657
4.848484848484849,-0.9685633556008131
5.05050505050505,-0.9883741249279855
5.252525252525253,-0.8490172689896923
5.454545454545454,-0.57293479558918
5.656565656565657,-0.20458698607160752
5.858585858585858,0.19670748191459664
6.0606060606060606,0.5663242056351105
6.262626262626262,0.8447401616828962
6.4646464646464645,0.9871192850068111
6.666666666666667,0.9705328623035809
6.8686868686868685,0.7976519686719348
7.070707070707071,0.49631731806735413
7.2727272727272725,0.11505579877763905
7.474747474747475,-0.2847342896060858
7.6767676767676765,-0.63867080942178
7.878787878787879,-0.8897558750177057
8.080808080808081,-0.9975547839643123
8.282828282828282,-0.9447076156500718
8.484848484848484,-0.7397248703708046
8.686868686868687,-0.41561693960036084
8.88888888888889,-0.024578117350832707
9.09090909090909,0.3704187613406422
9.292929292929292,0.7057634566034405
9.494949494949495,0.9274521075066184
9.696969696969697,0.9997840059654359
9.8989898989899,0.9111108335767062
10.1010101010101,-1.9494949494949498
10.303030303030303,-1.8484848484848486
10.505050505050505,-1.7474747474747474
10.707070707070708,-1.6464646464646462
10.909090909090908,-1.5454545454545459
11.11111111111111,-1.4444444444444446
11.313131313131313,-1.3434343434343434
11.515151515151516,-1.2424242424242422
11.717171717171716,-1.1414141414141419
11.919191919191919,-1.0404040404040407
12.121212121212121,-0.9393939393939394
12.323232323232324,-0.8383838383838382
12.525252525252524,-0.7373737373737379
12.727272727272727,-0.6363636363636367
12.929292929292929,-0.5353535353535355
13.131313131313131,-0.43434343434343425
13.333333333333334,-0.33333333333333304
13.535353535353535,-0.2323232323232327
13.737373737373737,-0.1313131313131315
13.93939393939394,-0.030303030303030276
14.141414141414142,-0.06567085004622042
14.343434343434343,-0.014656359710535583
14.545454545454545,0.0378824921561427
14.747474747474747,0.08352511018975983
14.94949494949495,0.11508797269926241
15.15151515151515,0.12775278736657336
15.353535353535353,0.11979857681880723
15.555555555555555,0.0928270502305768
15.757575757575758,0.05145336814504864
15.959595959595958,0.0025202896014695497
16.161616161616163,-0.04603107142989593
16.363636363636363,-0.08644791239680583
16.565656565656564,-0.11240168726920441
16.767676767676768,-0.11997662896410866
16.96969696969697,-0.10825684137598568
17.171717171717173,-0.07942457431104888
17.373737373737374,-0.03836181272949668
17.575757575757574,0.008173187537713567
17.77777777777778,0.052656006634145935
17.97979797979798,0.08801081015789958
18.18181818181818,0.10873393633384021
18.383838383838384,0.11174822354044966
18.585858585858585,0.09685586605094532
18.78787878787879,0.06672386405610498
18.98989898989899,0.026411886496079617
19.19191919191919,-0.017474665838320025
19.393939393939394,-0.05786504050169672
19.595959595959595,-0.08836056040821783
19.7979797979798,-0.1042464125544269
20.0,-0.10321812016940202
