,tau2,tau3,tau4
0,10000.0,10000.0,2.0
1,10000.0,10000.0,10000.0
2,10000.0,10000.0,10000.0
3,10000.0,10000.0,32.200400590896606
4,10000.0,10000.0,6.400326728820801
5,44.40022301673889,4.5005106925964355,2.0
6,10000.0,10000.0,10000.0
7,43.20002555847168,10000.0,10000.0
8,10000.0,10000.0,52.50006604194641
9,10000.0,39.30027770996094,10000.0
10,10000.0,10000.0,8.900241494178772
11,2.0,10000.0,10000.0
12,2.0,10000.0,10000.0
13,51.10023295879364,2.0,10000.0
14,10000.0,10000.0,38.70017898082733
15,13.800551176071167,5.9003437757492065,10000.0
16,10000.0,10000.0,10000.0
17,2.0,10000.0,10000.0
18,10000.0,29.800005674362183,10000.0
19,10000.0,10000.0,49.70039987564087
20,10000.0,2.0,2.0
21,10000.0,10000.0,10000.0
22,10000.0,10000.0,6.300210952758789
23,10000.0,10000.0,10000.0
24,10000.0,24.100557565689087,10000.0
25,10000.0,10000.0,10000.0
26,10000.0,10000.0,10000.0
27,10000.0,10000.0,2.900446057319641
28,10000.0,52.800413370132446,10000.0
29,10000.0,10000.0,2.1001157760620117
30,2.0,2.0,10000.0
31,21.700162649154663,10000.0,10000.0
32,10000.0,10000.0,49.500168323516846
33,10000.0,10000.0,8.000391364097595
34,10000.0,2.7002145051956177,5.300245046615601
35,10000.0,38.900410532951355,2.400463104248047
36,44.20058739185333,10000.0,10000.0
37,10000.0,10000.0,34.300448179244995
38,13.700435400009155,10000.0,10000.0
39,10000.0,10000.0,10000.0
40,10000.0,2.0,2.0
41,10000.0,10000.0,48.90006959438324
42,41.000458121299744,10000.0,10000.0
43,49.60028409957886,10000.0,10000.0
44,8.900241494178772,10000.0,10000.0
45,2.0,10000.0,10000.0
46,10000.0,9.800091624259949,5.00049364566803
47,3.800296187400818,46.700502157211304,10000.0
48,41.60055685043335,10000.0,10000.0
49,10000.0,49.80051565170288,2.0
50,10000.0,39.00052630901337,10000.0
51,5.300245046615601,10000.0,10000.0
52,10000.0,10000.0,20.400445342063904
53,10000.0,10000.0,40.200127840042114
54,10000.0,43.10050570964813,10000.0
55,46.30003905296326,10000.0,10000.0
56,10000.0,47.40012073516846,10000.0
57,10000.0,10000.0,19.600115060806274
58,10000.0,10000.0,44.10047161579132
59,10000.0,40.50047516822815,10000.0
60,50.40001845359802,10000.0,10000.0
61,10000.0,10000.0,35.90051281452179
62,10000.0,10000.0,5.300245046615601
63,10000.0,49.00018537044525,10000.0
64,10000.0,10000.0,10000.0
65,10.800057530403137,10000.0,10000.0
66,10000.0,10000.0,2.0
67,10000.0,10000.0,32.100284814834595
68,10000.0,37.30034589767456,10.400190353393555
69,10000.0,10000.0,44.900205969810486
70,10000.0,10000.0,10000.0
71,10000.0,10000.0,10000.0
72,10000.0,2.0,2.0
73,10000.0,10000.0,5.800227999687195
74,10000.0,10000.0,10000.0
75,6.200095176696777,21.60004687309265,10000.0
76,10000.0,10000.0,16.900564670562744
77,10000.0,10000.0,5.600592374801636
78,2.0,2.0,2.0
79,10000.0,10000.0,10000.0
80,10000.0,10000.0,10000.0
81,10000.0,10000.0,17.500067472457886
82,10000.0,15.500135660171509,10000.0
83,7.70004403591156,10000.0,10000.0
84,10000.0,10000.0,40.1000120639801
85,10000.0,10000.0,10000.0
86,10000.0,10000.0,29.700485825538635
87,10000.0,38.80029475688934,10000.0
88,10000.0,10000.0,2.0
89,10000.0,7.800159811973572,14.100302577018738
90,10000.0,10000.0,10000.0
91,10000.0,52.20031464099884,2.0
92,10000.0,2.0,2.0
93,50.80048155784607,10000.0,10000.0
94,10000.0,10000.0,2.900446057319641
95,10000.0,10000.0,5.400360822677612
96,10000.0,10000.0,10000.0
97,10000.0,25.80014204978943,10000.0
98,10000.0,2.2002315521240234,2.0
99,10000.0,3.9004119634628296,2.400463104248047
100,52.400546193122864,10000.0,10000.0
101,10000.0,6.000459551811218,39.40039348602295
102,10000.0,10000.0,13.300568222999573
103,10000.0,10000.0,7.200061082839966
104,2.0,10000.0,10000.0
105,10000.0,10000.0,10000.0
106,48.400086641311646,10000.0,10000.0
107,18.200281977653503,25.60050642490387,10000.0
108,10000.0,2.900446057319641,2.8003302812576294
109,10000.0,10000.0,42.90027415752411
110,10000.0,10000.0,10000.0
111,10000.0,10000.0,23.300227284431458
112,10000.0,10000.0,10000.0
113,10000.0,10000.0,44.10047161579132
114,10000.0,10000.0,14.900036931037903
115,10000.0,10000.0,37.60009729862213
116,10000.0,7.3001768589019775,10000.0
117,18.400513529777527,10000.0,10000.0
118,10000.0,10000.0,10000.0
119,10000.0,39.100046157836914,10000.0
120,10000.0,10000.0,10000.0
