,tau?,xMax?,yMin?
204,60,5.03125,4.6875
205,60,5.03125,4.6875
206,60,5.71875,4.6875
207,60,5.03125,4.6875
208,60,10.1875,4.6875
209,60,5.03125,4.6875
210,60,5.03125,4.6875
211,60,5.03125,9.84375
212,60,9.5,4.6875
213,60,5.03125,4.6875
214,60,5.03125,4.6875
215,60,5.03125,4.6875
216,60,11.90625,9.5
217,60,5.375,4.6875
218,60,5.71875,4.6875
219,60,5.03125,4.6875
220,60,5.03125,4.6875
221,60,5.03125,4.6875
222,60,5.03125,4.6875
223,60,5.03125,4.6875
224,60,5.03125,5.03125
225,60,11.90625,10.1875
226,60,5.03125,4.6875
227,60,5.375,9.5
228,60,5.375,4.6875
229,60,5.71875,4.6875
230,60,5.375,7.78125
231,60,13.96875,6.75
232,60,5.03125,4.6875
233,60,5.03125,4.6875
234,60,6.75,4.6875
235,60,5.375,4.6875
236,60,5.03125,4.6875
237,60,5.03125,5.03125
238,60,5.03125,4.6875
239,60,5.375,4.6875
240,60,11.21875,10.1875
241,60,5.71875,4.6875
242,60,10.1875,4.6875
243,60,10.875,11.5625
244,60,7.09375,4.6875
245,60,5.03125,4.6875
246,60,10.875,9.84375
247,60,6.40625,6.75
248,60,9.15625,9.15625
249,60,5.03125,4.6875
250,60,5.375,4.6875
251,60,5.375,4.6875
252,60,5.03125,4.6875
253,60,5.03125,4.6875
254,60,5.375,4.6875
255,60,11.21875,9.84375
256,60,5.03125,4.6875
257,60,5.375,4.6875
258,60,13.28125,5.03125
259,60,5.375,9.84375
260,60,9.84375,4.6875
261,60,5.375,4.6875
262,60,5.375,4.6875
263,60,5.375,5.71875
264,60,5.375,4.6875
265,60,5.03125,4.6875
266,60,5.03125,4.6875
267,60,5.03125,4.6875
268,60,5.71875,4.6875
269,60,5.03125,4.6875
270,60,5.375,4.6875
271,60,5.71875,4.6875
272,60,10.53125,10.53125
273,60,12.9375,4.6875
274,60,5.03125,4.6875
275,60,5.71875,4.6875
276,60,5.03125,4.6875
277,60,5.03125,4.6875
278,60,11.21875,4.6875
279,60,5.03125,4.6875
280,60,5.03125,4.6875
281,60,5.375,4.6875
282,60,5.03125,4.6875
283,60,8.46875,7.4375
284,60,5.03125,4.6875
285,60,5.03125,10.1875
286,60,5.03125,4.6875
287,60,5.03125,4.6875
288,60,5.03125,4.6875
289,60,5.375,4.6875
290,60,5.71875,4.6875
291,60,5.375,4.6875
292,60,10.875,10.1875
293,60,5.375,5.375
294,60,5.375,4.6875
295,60,14.3125,5.71875
296,60,5.03125,4.6875
297,60,5.03125,4.6875
298,60,5.375,4.6875
299,60,5.71875,4.6875
300,60,5.375,4.6875
301,60,5.375,4.6875
302,60,5.375,4.6875
303,60,5.375,4.6875
304,60,5.375,4.6875
305,60,11.90625,9.5
306,60,5.03125,4.6875
307,60,5.375,5.03125
308,60,5.03125,4.6875
309,60,5.03125,4.6875
310,60,11.21875,9.84375
311,60,5.375,4.6875
312,60,5.03125,4.6875
313,60,5.71875,4.6875
314,60,5.03125,4.6875
315,60,6.0625,8.125
316,60,5.375,4.6875
317,60,5.03125,4.6875
318,60,10.53125,4.6875
319,60,5.375,4.6875
320,60,5.03125,4.6875
321,60,5.03125,4.6875
322,60,5.03125,4.6875
323,60,5.375,4.6875
324,60,5.03125,5.03125
325,60,5.375,5.71875
326,60,5.375,4.6875
327,60,5.03125,4.6875
328,60,5.03125,4.6875
329,60,5.375,4.6875
330,60,5.03125,4.6875
331,60,5.03125,4.6875
332,60,5.03125,4.6875
333,60,5.375,5.03125
334,60,5.375,4.6875
335,60,5.03125,4.6875
336,60,5.375,10.1875
337,60,5.03125,4.6875
338,60,5.03125,4.6875
339,60,6.0625,5.71875
340,60,5.375,4.6875
341,60,5.03125,4.6875
342,60,10.875,11.5625
343,60,10.875,11.5625
344,60,14.3125,5.03125
345,60,5.375,4.6875
346,60,7.4375,7.09375
347,60,5.03125,4.6875
348,60,13.625,6.0625
349,60,5.375,4.6875
350,60,5.71875,4.6875
351,60,5.375,4.6875
352,60,11.90625,4.6875
353,60,11.21875,4.6875
354,60,11.21875,4.6875
355,60,5.03125,4.6875
356,60,5.375,4.6875
357,60,5.375,5.71875
358,60,10.875,11.5625
359,60,14.3125,4.6875
360,60,5.375,4.6875
361,60,5.03125,4.6875
362,60,5.03125,4.6875
363,60,5.375,10.1875
364,60,5.375,10.53125
365,60,5.375,4.6875
366,60,5.03125,4.6875
367,60,14.3125,5.03125
368,60,5.03125,4.6875
369,60,5.375,4.6875
370,60,5.03125,4.6875
371,60,5.03125,9.5
372,60,5.375,4.6875
373,60,5.03125,4.6875
374,60,5.375,4.6875
375,60,5.375,4.6875
376,60,5.375,4.6875
377,60,5.03125,5.03125
378,60,5.375,4.6875
379,60,5.03125,4.6875
380,60,5.375,8.46875
381,60,5.375,4.6875
382,60,7.09375,6.40625
383,60,5.03125,4.6875
384,60,5.03125,4.6875
385,60,8.46875,7.4375
386,60,5.375,4.6875
387,60,7.78125,10.53125
