t,x,y,z
0.005,4.9,4.4,0.099755
0.065,4.9,4.4,0.077705
0.125,4.902299,4.401863,0.062894
0.185,4.904381,4.403611,0.061461
0.25,4.905133999999999,4.4042129999999995,0.061426
0.31,4.9054839999999995,4.404376999999999,0.06141
0.37,4.905715,4.404386,0.061413999999999996
0.435,4.9059040000000005,4.404387,0.061417
0.5,4.906039,4.404275,0.06141
0.56,4.906289,4.404216,0.061413999999999996
0.62,4.90648,4.40414,0.061412
0.68,4.906708999999999,4.404041,0.06141
0.74,4.906994,4.403975,0.061405999999999995
0.805,4.907321,4.403873,0.061413999999999996
0.865,4.907394,4.403775,0.06141
0.93,4.907469,4.403653,0.061415
0.995,4.90755,4.403533,0.061409000000000005
1.06,4.907544000000001,4.40342,0.061405999999999995
1.12,4.907647,4.403306,0.061408000000000004
1.185,4.907694,4.403206,0.061408000000000004
1.245,4.907652,4.403146,0.06141
1.31,4.907717,4.403032,0.061413999999999996
1.37,4.907712,4.402944000000001,0.061415
1.435,4.907687,4.4028730000000005,0.061411
1.495,4.907614,4.40279,0.061409000000000005
1.56,4.907608,4.402604,0.061412
1.62,4.907519000000001,4.4025739999999995,0.061413999999999996
1.685,4.907473,4.402446,0.061413
1.745,4.907424,4.402272,0.061413
1.81,4.907344,4.401993,0.061413
1.87,4.907280999999999,4.401692,0.061409000000000005
1.935,4.907187,4.401232,0.061411
1.995,4.907083,4.4008449999999995,0.06141
2.055,4.90701,4.400503,0.06141
2.12,4.906899,4.40035,0.061408000000000004
2.18,4.90679,4.400247,0.061405999999999995
2.245,4.906681,4.400104,0.061402
2.305,4.906544,4.399937,0.061416
2.37,4.906499,4.400054,0.061405999999999995
2.435,4.906417,4.399991,0.061412
2.5,4.9063300000000005,4.39999,0.061411
2.565,4.906179,4.399869,0.061411
2.63,4.906096,4.399755,0.061413
2.69,4.905974,4.399744,0.061409000000000005
2.755,4.9058269999999995,4.399697,0.061413
2.82,4.905761,4.399671,0.061413
2.885,4.905725,4.399678,0.06141
2.95,4.905693,4.399678,0.061411
3.015,4.90564,4.399642,0.061415
3.075,4.905628,4.399647,0.061413
3.14,4.905578,4.399608,0.061411
3.205,4.900189,4.394946,0.061391999999999995
3.27,4.890687000000001,4.387348,0.061398
3.335,4.881412,4.379957,0.061409000000000005
3.4,4.874331,4.374313,0.061401
3.46,4.867414,4.3687830000000005,0.061386
3.525,4.858626999999999,4.361779,0.061399
3.585,4.8509150000000005,4.355601999999999,0.061401
3.65,4.843349,4.349541,0.061394000000000004
3.715,4.835273,4.343089,0.061395000000000005
3.78,4.826788,4.3363309999999995,0.061395000000000005
3.845,4.81877,4.329958,0.061396000000000006
3.91,4.81086,4.323649,0.061397
3.97,4.803308,4.317617,0.0614
4.035,4.795127,4.31107,0.061401
4.1,4.787045,4.3046120000000005,0.061399
4.165,4.779017,4.298216,0.061397
4.23,4.770918,4.2917440000000004,0.061397
4.295,4.7627559999999995,4.285221,0.061401
4.36,4.754663,4.278755,0.0614
4.425,4.7466029999999995,4.272323,0.061396000000000006
4.485,4.739019,4.266272,0.061399
4.55,4.730923000000001,4.259796,0.061398
4.61,4.723544,4.253889,0.0614
4.675,4.7154620000000005,4.247447,0.061397
4.74,4.707244,4.240895,0.061398
4.805,4.699138,4.234442,0.061398
4.87,4.6910620000000005,4.227993,0.061398
4.935,4.682961,4.2215169999999995,0.061399
5.0,4.674828,4.215049,0.061395000000000005
5.065,4.666698,4.208564,0.0614
5.13,4.658599,4.202079,0.0614
5.195,4.650538,4.19562,0.061399
5.255,4.643098999999999,4.189708,0.061396000000000006
5.32,4.634912,4.183175,0.061399
5.38,4.627407,4.177159,0.061401
5.445,4.619354,4.1707279999999995,0.061395000000000005
5.505,4.611879,4.1647940000000006,0.061395000000000005
5.57,4.603802,4.158327,0.061398
5.635,4.595637,4.151833,0.061401
5.7,4.587512,4.145351,0.061396000000000006
5.765,4.579369,4.138845,0.061394000000000004
5.83,4.571257,4.132366,0.061399
5.895,4.563244999999999,4.125939,0.061397
5.96,4.555128,4.11948,0.061399
6.025,4.546943,4.112933,0.061392999999999996
6.09,4.538855,4.106481,0.061401
6.15,4.531447,4.100551,0.061397
6.215,4.523348,4.094082,0.061397
6.275,4.515807,4.088039,0.06140399999999999
6.34,4.5077300000000005,4.081601,0.061399
6.405,4.4996599999999995,4.07515,0.061399
6.47,4.4915449999999995,4.068672,0.061394000000000004
6.535,4.483423999999999,4.062168,0.061398
6.6,4.475343,4.055722,0.061399
6.665,4.4672220000000005,4.0492360000000005,0.061397
6.73,4.459111,4.042751,0.061398
