t,x,y,z
0.005,4.9,4.4,0.099755
0.065,4.9,4.4,0.077705
0.125,4.902299,4.401863,0.062894
0.185,4.90585,4.405032,0.061454999999999996
0.25,4.907968,4.407148,0.061453999999999995
0.31,4.912664,4.411926,0.061399
0.37,4.914905,4.4142220000000005,0.061459
0.435,4.919283,4.41861,0.061403
0.5,4.922275,4.42159,0.061496
0.56,4.926418,4.425743,0.061403
0.62,4.929125,4.428475,0.061480999999999994
0.68,4.933406,4.432764,0.0614
0.74,4.935783,4.435201999999999,0.061470000000000004
0.805,4.940348,4.439832,0.061404999999999994
0.865,4.947853,4.447382,0.061395000000000005
0.93,4.952305,4.451772,0.061437
0.995,4.957721,4.45723,0.061402
1.06,4.960212,4.459808,0.061469
1.12,4.963936,4.463635,0.061404999999999994
1.185,4.966863,4.466568,0.061477
1.245,4.971158,4.470837,0.061402
1.31,4.979183,4.478941000000001,0.061417
1.37,4.986103,4.485938,0.061413999999999996
1.435,4.9933510000000005,4.493265,0.061412
1.495,4.996178,4.4962089999999995,0.061447
1.56,5.000669,4.500992,0.061401
1.62,5.003463,4.503767,0.061453999999999995
1.685,5.008322,4.508765,0.061391999999999995
1.745,5.0111,4.511331,0.061422000000000004
1.81,5.015651999999999,4.516506,0.061398
1.87,5.018143,4.518801,0.061405999999999995
1.935,5.023003,4.5240160000000005,0.061388
1.995,5.029816,4.530926,0.061391999999999995
2.055,5.0372330000000005,4.5384910000000005,0.061403
2.12,5.040722,4.542225,0.061407
2.18,5.0439,4.545547,0.06138099999999999
2.245,5.04592,4.547573000000001,0.061407
2.305,5.050712,4.552372,0.061388
2.37,5.052354,4.553381,0.061402
2.435,5.0562510000000005,4.554486,0.061382000000000006
2.5,5.057411,4.554483,0.061398
2.565,5.061553,4.555033,0.061384
2.63,5.0625849999999994,4.555057,0.061407
2.69,5.066795,4.555136,0.0614
2.755,5.068121,4.554996,0.061404999999999994
2.82,5.072801,4.5551379999999995,0.061394000000000004
2.885,5.074103,4.555011,0.061408000000000004
2.95,5.078801,4.555137,0.061395000000000005
3.015,5.080061,4.5550180000000005,0.061408000000000004
3.075,5.084178,4.555139,0.06139
3.14,5.085380000000001,4.555016999999999,0.061405999999999995
3.205,5.090015,4.555137,0.061390999999999994
3.27,5.091235,4.55504,0.061405999999999995
3.335,5.095794000000001,4.555136,0.061395000000000005
3.4,5.096923,4.555039,0.061405999999999995
3.46,5.100973000000001,4.555137,0.061395000000000005
3.525,5.102084,4.555032,0.06140399999999999
3.585,5.106125,4.5551379999999995,0.061391999999999995
3.65,5.107201,4.555032,0.061404999999999994
3.715,5.111722,4.555137,0.061391999999999995
3.78,5.1128,4.555051000000001,0.061407
3.845,5.117247,4.555136,0.061394000000000004
3.91,5.118288,4.555053,0.061407
3.97,5.1222959999999995,4.555136,0.061395000000000005
4.035,5.12334,4.55504,0.061409000000000005
4.1,5.1241959999999995,4.554421,0.061402
4.165,5.124761,4.554041000000001,0.061394000000000004
4.23,5.12513,4.553676,0.061390999999999994
4.295,5.125373000000001,4.5533339999999995,0.06139
4.36,5.126645,4.553694,0.061363
4.425,5.1267629999999995,4.553653,0.06138099999999999
4.485,5.128871,4.5541220000000004,0.061375
4.55,5.1289739999999995,4.554105,0.061391999999999995
4.61,5.129556,4.553456,0.061394000000000004
4.675,5.129581,4.553089,0.061392999999999996
4.74,5.129487,4.552916000000001,0.061403
4.805,5.129363,4.5523489999999995,0.06141
4.87,5.129277,4.552183,0.061402
4.935,5.128347,4.553881,0.061362
5.0,5.128278,4.553905,0.061389
5.065,5.126836,4.554375,0.06138300000000001
5.13,5.126818,4.554349,0.061401
5.195,5.125407,4.554862,0.061385
5.255,5.125381,4.5548519999999995,0.061407
5.32,5.124016,4.5550809999999995,0.061388
5.38,5.123985,4.555038,0.061407
5.445,5.122689,4.555114,0.061387
5.505,5.122662999999999,4.555068,0.061407
5.57,5.121408,4.5551379999999995,0.061385
5.635,5.121398,4.555089,0.061404999999999994
5.7,5.1201989999999995,4.555137,0.06139
5.765,5.120183,4.555093,0.061405999999999995
5.83,5.1190739999999995,4.555136,0.061390999999999994
5.895,5.119059,4.555095,0.061404999999999994
5.96,5.117989,4.555136,0.061390999999999994
6.025,5.1179879999999995,4.555094,0.061404999999999994
6.09,5.1169720000000005,4.555136,0.06139
6.15,5.116944999999999,4.555096,0.061405999999999995
6.215,5.116023,4.555136,0.061389
6.275,5.116005,4.555098,0.061405999999999995
6.34,5.115111,4.555136,0.061392999999999996
6.405,5.115088,4.555094,0.061404999999999994
6.47,5.114241000000001,4.555137,0.061391999999999995
