t,x,y,z
0.005,4.9,4.4,0.099755
0.065,4.9,4.4,0.077705
0.125,4.902299,4.401863,0.062894
0.185,4.905101999999999,4.404266000000001,0.061429
0.25,4.910101,4.409294999999999,0.061402
0.31,4.915588,4.414817,0.061439999999999995
0.37,4.919969999999999,4.419223000000001,0.061412
0.435,4.925095,4.424378,0.06141900000000001
0.5,4.927098,4.426472,0.061434
0.56,4.926863,4.426232,0.061413
0.62,4.92701,4.426329,0.061416
0.68,4.927134,4.426359,0.061417
0.74,4.927186,4.426353,0.061417
0.805,4.927413,4.4264339999999995,0.06141799999999999
0.865,4.927565,4.426448000000001,0.06141
0.93,4.927617,4.426425,0.061413999999999996
0.995,4.927759,4.426442,0.061415
1.06,4.927899,4.426419999999999,0.061412
1.12,4.928014,4.4264019999999995,0.061412
1.185,4.928307,4.426417,0.061413
1.245,4.928555,4.4263959999999996,0.061411
1.31,4.928648,4.4263699999999995,0.06141
1.37,4.928730000000001,4.426311,0.061413999999999996
1.435,4.928975,4.4262690000000005,0.06141
1.495,4.929142,4.426246,0.061412
1.56,4.9292489999999995,4.4261870000000005,0.061415
1.62,4.929354,4.426141,0.061412
1.685,4.929444,4.426095,0.061408000000000004
1.745,4.929492,4.426051,0.061411
1.81,4.92954,4.425998,0.061411
1.87,4.929661,4.425933000000001,0.061416
1.935,4.929779,4.425861,0.061413999999999996
1.995,4.929814,4.425845,0.06141
2.055,4.929942,4.425793,0.061403
2.12,4.930102,4.425725,0.06141
2.18,4.93025,4.425685,0.06140399999999999
2.245,4.930525,4.425621,0.061405999999999995
2.305,4.930655000000001,4.42555,0.061415
2.37,4.930619999999999,4.425497,0.061411
2.435,4.9306730000000005,4.425438,0.061412
2.5,4.930687,4.425344,0.061415
2.565,4.930805,4.425218,0.061413999999999996
2.63,4.930872,4.425162,0.061416
2.69,4.930921,4.425071,0.061413999999999996
2.755,4.931017,4.424949,0.06141
2.82,4.931019999999999,4.4249339999999995,0.061409000000000005
2.885,4.930988,4.424930000000001,0.06141
2.95,4.9310220000000005,4.4248199999999995,0.061413
3.015,4.931082,4.424713,0.061412
3.075,4.931067,4.424677,0.06141
3.14,4.931036,4.4246419999999995,0.061411
3.205,4.931011,4.42459,0.061416
3.27,4.9310089999999995,4.424506,0.061413
3.335,4.930993,4.424415,0.06141
3.4,4.9309650000000005,4.424373999999999,0.061411
3.46,4.9309330000000005,4.424291,0.061413999999999996
3.525,4.930884,4.424254,0.061413
3.585,4.930853,4.424132,0.061412
3.65,4.930809,4.423987,0.061405999999999995
3.715,4.930784,4.423871,0.061417
3.78,4.930731,4.423649,0.061408000000000004
3.845,4.930680000000001,4.423388,0.061413
3.91,4.930633,4.423332,0.061416
3.97,4.930568,4.423305,0.061412
4.035,4.930516000000001,4.423133999999999,0.061409000000000005
4.1,4.930448,4.423116,0.061404999999999994
4.165,4.930402,4.4230540000000005,0.061409000000000005
4.23,4.930341,4.4229970000000005,0.061408000000000004
4.295,4.930305000000001,4.422959,0.061405999999999995
4.36,4.930254,4.422862,0.061413
4.425,4.930212,4.42285,0.061402
4.485,4.930132,4.4227419999999995,0.061413
4.55,4.9300690000000005,4.422637,0.061412
4.61,4.930013,4.422477,0.061412
4.675,4.9299610000000005,4.422414,0.061407
4.74,4.929918,4.422403,0.06140399999999999
4.805,4.929848000000001,4.422357,0.061413999999999996
4.87,4.929844999999999,4.422421,0.06140399999999999
4.935,4.9297889999999995,4.422369000000001,0.061405999999999995
5.0,4.929759,4.422327,0.061411
5.065,4.9297059999999995,4.422233,0.061411
5.13,4.929671,4.422208,0.06141
5.195,4.929651,4.4222410000000005,0.06140399999999999
5.255,4.929558999999999,4.422168,0.061411
5.32,4.929546,4.4222529999999995,0.061408000000000004
5.38,4.929459,4.422185,0.061413
5.445,4.929373,4.4221330000000005,0.061416
5.505,4.929346,4.422116,0.061412
5.57,4.929213,4.422062,0.061412
5.635,4.92915,4.42208,0.06141
5.7,4.9291,4.42211,0.06141
5.765,4.929031,4.422128,0.061413
5.83,4.928937,4.422132,0.061413
5.895,4.928822,4.422135,0.061411
5.96,4.928774,4.422204,0.061409000000000005
6.025,4.928658,4.422212,0.061411
6.09,4.928528,4.42221,0.06141900000000001
6.15,4.92849,4.422273000000001,0.061409000000000005
6.215,4.928343,4.422318,0.061412
6.275,4.928195,4.422338,0.061413999999999996
6.34,4.928058,4.422357,0.061408000000000004
6.405,4.927869,4.422369000000001,0.061412
6.47,4.927703,4.422395,0.061411
6.535,4.927494,4.422438,0.061411
6.6,4.927283,4.42247,0.061416
